attempt_order,learner_id,skill_name,lesson_title,question_id,is_correct,difficulty_level,assessment_type,answered_at,certification_id,lesson_id,exam_id,attempt_no
31,1,103,Laws on Labor and Transaction,Q-103-8,1,AVERAGE,DIAGNOSTIC,2026-01-01 08:51:00+00:00,1,103,1003,2
32,1,104,Laws on Security,Q-104-8,1,HARD,MIDDLE_EXAM,2026-01-01 08:52:00+00:00,1,104,1003,2
33,1,101,Accounting and Financial Affairs,Q-101-9,1,EASY,LESSON_QUIZ,2026-01-01 08:56:00+00:00,1,101,1000,3
34,1,102,Management and Organization Theory,Q-102-9,1,AVERAGE,MOCK_EXAM,2026-01-01 08:57:00+00:00,1,102,1000,3
35,1,103,Laws on Labor and Transaction,Q-103-9,0,HARD,LESSON_QUIZ,2026-01-01 08:58:00+00:00,1,103,1000,3
36,1,104,Laws on Security,Q-104-9,1,EASY,MOCK_EXAM,2026-01-01 08:59:00+00:00,1,104,1000,3
37,1,101,Accounting and Financial Affairs,Q-101-1,0,AVERAGE,MIDDLE_EXAM,2026-01-01 09:03:00+00:00,1,101,1001,3
38,1,102,Management and Organization Theory,Q-102-1,0,HARD,DIAGNOSTIC,2026-01-01 09:04:00+00:00,1,102,1001,3
39,1,103,Laws on Labor and Transaction,Q-103-1,1,EASY,MIDDLE_EXAM,2026-01-01 09:05:00+00:00,1,103,1001,3
40,1,104,Laws on Security,Q-104-1,0,AVERAGE,DIAGNOSTIC,2026-01-01 09:06:00+00:00,1,104,1001,3
41,1,101,Accounting and Financial Affairs,Q-101-2,0,HARD,MOCK_EXAM,2026-01-01 09:10:00+00:00,1,101,1002,3
42,1,102,Management and Organization Theory,Q-102-2,1,EASY,LESSON_QUIZ,2026-01-01 09:11:00+00:00,1,102,1002,3
43,1,103,Laws on Labor and Transaction,Q-103-2,1,AVERAGE,MOCK_EXAM,2026-01-01 09:12:00+00:00,1,103,1002,3
44,1,104,Laws on Security,Q-104-2,0,HARD,LESSON_QUIZ,2026-01-01 09:13:00+00:00,1,104,1002,3
45,1,101,Accounting and Financial Affairs,Q-101-3,1,EASY,DIAGNOSTIC,2026-01-01 09:17:00+00:00,1,101,1003,3
46,1,102,Management and Organization Theory,Q-102-3,1,AVERAGE,MIDDLE_EXAM,2026-01-01 09:18:00+00:00,1,102,1003,3
47,1,103,Laws on Labor and Transaction,Q-103-3,1,HARD,DIAGNOSTIC,2026-01-01 09:19:00+00:00,1,103,1003,3
48,1,104,Laws on Security,Q-104-3,1,EASY,MIDDLE_EXAM,2026-01-01 09:20:00+00:00,1,104,1003,3
49,2,101,Accounting and Financial Affairs,Q-101-1,0,EASY,DIAGNOSTIC,2026-01-01 09:30:00+00:00,1,101,1000,1
50,2,102,Management and Organization Theory,Q-102-1,1,AVERAGE,MIDDLE_EXAM,2026-01-01 09:31:00+00:00,1,102,1000,1
51,2,103,Laws on Labor and Transaction,Q-103-1,1,HARD,DIAGNOSTIC,2026-01-01 09:32:00+00:00,1,103,1000,1
52,2,104,Laws on Security,Q-104-1,0,EASY,MIDDLE_EXAM,2026-01-01 09:33:00+00:00,1,104,1000,1
53,2,101,Accounting and Financial Affairs,Q-101-2,0,AVERAGE,LESSON_QUIZ,2026-01-01 09:37:00+00:00,1,101,1001,1
54,2,102,Management and Organization Theory,Q-102-2,0,HARD,MOCK_EXAM,2026-01-01 09:38:00+00:00,1,102,1001,1
55,2,103,Laws on Labor and Transaction,Q-103-2,0,EASY,LESSON_QUIZ,2026-01-01 09:39:00+00:00,1,103,1001,1
56,2,104,Laws on Security,Q-104-2,0,AVERAGE,MOCK_EXAM,2026-01-01 09:40:00+00:00,1,104,1001,1
57,2,101,Accounting and Financial Affairs,Q-101-3,0,HARD,MIDDLE_EXAM,2026-01-01 09:44:00+00:00,1,101,1002,1
58,2,102,Management and Organization Theory,Q-102-3,1,EASY,DIAGNOSTIC,2026-01-01 09:45:00+00:00,1,102,1002,1
59,2,103,Laws on Labor and Transaction,Q-103-3,1,AVERAGE,MIDDLE_EXAM,2026-01-01 09:46:00+00:00,1,103,1002,1
60,2,104,Laws on Security,Q-104-3,1,HARD,DIAGNOSTIC,2026-01-01 09:47:00+00:00,1,104,1002,1
61,2,101,Accounting and Financial Affairs,Q-101-4,1,EASY,MOCK_EXAM,2026-01-01 09:51:00+00:00,1,101,1003,1
62,2,102,Management and Organization Theory,Q-102-4,1,AVERAGE,LESSON_QUIZ,2026-01-01 09:52:00+00:00,1,102,1003,1
63,2,103,Laws on Labor and Transaction,Q-103-4,1,HARD,MOCK_EXAM,2026-01-01 09:53:00+00:00,1,103,1003,1
64,2,104,Laws on Security,Q-104-4,0,EASY,LESSON_QUIZ,2026-01-01 09:54:00+00:00,1,104,1003,1
65,2,101,Accounting and Financial Affairs,Q-101-5,1,AVERAGE,DIAGNOSTIC,2026-01-01 09:58:00+00:00,1,101,1000,2
66,2,102,Management and Organization Theory,Q-102-5,1,HARD,MIDDLE_EXAM,2026-01-01 09:59:00+00:00,1,102,1000,2
67,2,103,Laws on Labor and Transaction,Q-103-5,1,EASY,DIAGNOSTIC,2026-01-01 10:00:00+00:00,1,103,1000,2
68,2,104,Laws on Security,Q-104-5,1,AVERAGE,MIDDLE_EXAM,2026-01-01 10:01:00+00:00,1,104,1000,2
69,2,101,Accounting and Financial Affairs,Q-101-6,0,HARD,LESSON_QUIZ,2026-01-01 10:05:00+00:00,1,101,1001,2
70,2,102,Management and Organization Theory,Q-102-6,1,EASY,MOCK_EXAM,2026-01-01 10:06:00+00:00,1,102,1001,2
71,2,103,Laws on Labor and Transaction,Q-103-6,0,AVERAGE,LESSON_QUIZ,2026-01-01 10:07:00+00:00,1,103,1001,2
72,2,104,Laws on Security,Q-104-6,0,HARD,MOCK_EXAM,2026-01-01 10:08:00+00:00,1,104,1001,2
73,2,101,Accounting and Financial Affairs,Q-101-7,1,EASY,MIDDLE_EXAM,2026-01-01 10:12:00+00:00,1,101,1002,2
74,2,102,Management and Organization Theory,Q-102-7,0,AVERAGE,DIAGNOSTIC,2026-01-01 10:13:00+00:00,1,102,1002,2
75,2,103,Laws on Labor and Transaction,Q-103-7,1,HARD,MIDDLE_EXAM,2026-01-01 10:14:00+00:00,1,103,1002,2
76,2,104,Laws on Security,Q-104-7,1,EASY,DIAGNOSTIC,2026-01-01 10:15:00+00:00,1,104,1002,2
77,2,101,Accounting and Financial Affairs,Q-101-8,1,AVERAGE,MOCK_EXAM,2026-01-01 10:19:00+00:00,1,101,1003,2
78,2,102,Management and Organization Theory,Q-102-8,0,HARD,LESSON_QUIZ,2026-01-01 10:20:00+00:00,1,102,1003,2
79,2,103,Laws on Labor and Transaction,Q-103-8,1,EASY,MOCK_EXAM,2026-01-01 10:21:00+00:00,1,103,1003,2
80,2,104,Laws on Security,Q-104-8,1,AVERAGE,LESSON_QUIZ,2026-01-01 10:22:00+00:00,1,104,1003,2
81,2,101,Accounting and Financial Affairs,Q-101-9,1,HARD,DIAGNOSTIC,2026-01-01 10:26:00+00:00,1,101,1000,3
82,2,102,Management and Organization Theory,Q-102-9,1,EASY,MIDDLE_EXAM,2026-01-01 10:27:00+00:00,1,102,1000,3
83,2,103,Laws on Labor and Transaction,Q-103-9,1,AVERAGE,DIAGNOSTIC,2026-01-01 10:28:00+00:00,1,103,1000,3
84,2,104,Laws on Security,Q-104-9,1,HARD,MIDDLE_EXAM,2026-01-01 10:29:00+00:00,1,104,1000,3
85,2,101,Accounting and Financial Affairs,Q-101-1,1,EASY,LESSON_QUIZ,2026-01-01 10:33:00+00:00,1,101,1001,3
86,2,102,Management and Organization Theory,Q-102-1,1,AVERAGE,MOCK_EXAM,2026-01-01 10:34:00+00:00,1,102,1001,3
87,2,103,Laws on Labor and Transaction,Q-103-1,1,HARD,LESSON_QUIZ,2026-01-01 10:35:00+00:00,1,103,1001,3
88,2,104,Laws on Security,Q-104-1,1,EASY,MOCK_EXAM,2026-01-01 10:36:00+00:00,1,104,1001,3
89,2,101,Accounting and Financial Affairs,Q-101-2,1,AVERAGE,MIDDLE_EXAM,2026-01-01 10:40:00+00:00,1,101,1002,3
90,2,102,Management and Organization Theory,Q-102-2,1,HARD,DIAGNOSTIC,2026-01-01 10:41:00+00:00,1,102,1002,3
91,2,103,Laws on Labor and Transaction,Q-103-2,0,EASY,MIDDLE_EXAM,2026-01-01 10:42:00+00:00,1,103,1002,3
92,2,104,Laws on Security,Q-104-2,0,AVERAGE,DIAGNOSTIC,2026-01-01 10:43:00+00:00,1,104,1002,3
93,2,101,Accounting and Financial Affairs,Q-101-3,0,HARD,MOCK_EXAM,2026-01-01 10:47:00+00:00,1,101,1003,3
94,2,102,Management and Organization Theory,Q-102-3,1,EASY,LESSON_QUIZ,2026-01-01 10:48:00+00:00,1,102,1003,3
95,2,103,Laws on Labor and Transaction,Q-103-3,0,AVERAGE,MOCK_EXAM,2026-01-01 10:49:00+00:00,1,103,1003,3
96,2,104,Laws on Security,Q-104-3,0,HARD,LESSON_QUIZ,2026-01-01 10:50:00+00:00,1,104,1003,3
97,3,101,Accounting and Financial Affairs,Q-101-1,1,EASY,MOCK_EXAM,2026-01-01 11:00:00+00:00,1,101,1000,1
98,3,102,Management and Organization Theory,Q-102-1,1,AVERAGE,LESSON_QUIZ,2026-01-01 11:01:00+00:00,1,102,1000,1
99,3,103,Laws on Labor and Transaction,Q-103-1,0,HARD,MOCK_EXAM,2026-01-01 11:02:00+00:00,1,103,1000,1
100,3,104,Laws on Security,Q-104-1,0,EASY,LESSON_QUIZ,2026-01-01 11:03:00+00:00,1,104,1000,1
101,3,101,Accounting and Financial Affairs,Q-101-2,1,AVERAGE,DIAGNOSTIC,2026-01-01 11:07:00+00:00,1,101,1001,1
102,3,102,Management and Organization Theory,Q-102-2,0,HARD,MIDDLE_EXAM,2026-01-01 11:08:00+00:00,1,102,1001,1
103,3,103,Laws on Labor and Transaction,Q-103-2,0,EASY,DIAGNOSTIC,2026-01-01 11:09:00+00:00,1,103,1001,1
104,3,104,Laws on Security,Q-104-2,0,AVERAGE,MIDDLE_EXAM,2026-01-01 11:10:00+00:00,1,104,1001,1
105,3,101,Accounting and Financial Affairs,Q-101-3,0,HARD,LESSON_QUIZ,2026-01-01 11:14:00+00:00,1,101,1002,1
106,3,102,Management and Organization Theory,Q-102-3,0,EASY,MOCK_EXAM,2026-01-01 11:15:00+00:00,1,102,1002,1
107,3,103,Laws on Labor and Transaction,Q-103-3,0,AVERAGE,LESSON_QUIZ,2026-01-01 11:16:00+00:00,1,103,1002,1
108,3,104,Laws on Security,Q-104-3,0,HARD,MOCK_EXAM,2026-01-01 11:17:00+00:00,1,104,1002,1
109,3,101,Accounting and Financial Affairs,Q-101-4,1,EASY,MIDDLE_EXAM,2026-01-01 11:21:00+00:00,1,101,1003,1
110,3,102,Management and Organization Theory,Q-102-4,1,AVERAGE,DIAGNOSTIC,2026-01-01 11:22:00+00:00,1,102,1003,1
111,3,103,Laws on Labor and Transaction,Q-103-4,1,HARD,MIDDLE_EXAM,2026-01-01 11:23:00+00:00,1,103,1003,1
112,3,104,Laws on Security,Q-104-4,1,EASY,DIAGNOSTIC,2026-01-01 11:24:00+00:00,1,104,1003,1
113,3,101,Accounting and Financial Affairs,Q-101-5,1,AVERAGE,MOCK_EXAM,2026-01-01 11:28:00+00:00,1,101,1000,2
114,3,102,Management and Organization Theory,Q-102-5,1,HARD,LESSON_QUIZ,2026-01-01 11:29:00+00:00,1,102,1000,2
115,3,103,Laws on Labor and Transaction,Q-103-5,1,EASY,MOCK_EXAM,2026-01-01 11:30:00+00:00,1,103,1000,2
116,3,104,Laws on Security,Q-104-5,0,AVERAGE,LESSON_QUIZ,2026-01-01 11:31:00+00:00,1,104,1000,2
117,3,101,Accounting and Financial Affairs,Q-101-6,1,HARD,DIAGNOSTIC,2026-01-01 11:35:00+00:00,1,101,1001,2
118,3,102,Management and Organization Theory,Q-102-6,0,EASY,MIDDLE_EXAM,2026-01-01 11:36:00+00:00,1,102,1001,2
119,3,103,Laws on Labor and Transaction,Q-103-6,0,AVERAGE,DIAGNOSTIC,2026-01-01 11:37:00+00:00,1,103,1001,2
120,3,104,Laws on Security,Q-104-6,1,HARD,MIDDLE_EXAM,2026-01-01 11:38:00+00:00,1,104,1001,2
121,3,101,Accounting and Financial Affairs,Q-101-7,1,EASY,LESSON_QUIZ,2026-01-01 11:42:00+00:00,1,101,1002,2
122,3,102,Management and Organization Theory,Q-102-7,1,AVERAGE,MOCK_EXAM,2026-01-01 11:43:00+00:00,1,102,1002,2
123,3,103,Laws on Labor and Transaction,Q-103-7,0,HARD,LESSON_QUIZ,2026-01-01 11:44:00+00:00,1,103,1002,2
124,3,104,Laws on Security,Q-104-7,1,EASY,MOCK_EXAM,2026-01-01 11:45:00+00:00,1,104,1002,2
125,3,101,Accounting and Financial Affairs,Q-101-8,0,AVERAGE,MIDDLE_EXAM,2026-01-01 11:49:00+00:00,1,101,1003,2
126,3,102,Management and Organization Theory,Q-102-8,1,HARD,DIAGNOSTIC,2026-01-01 11:50:00+00:00,1,102,1003,2
127,3,103,Laws on Labor and Transaction,Q-103-8,1,EASY,MIDDLE_EXAM,2026-01-01 11:51:00+00:00,1,103,1003,2
128,3,104,Laws on Security,Q-104-8,1,AVERAGE,DIAGNOSTIC,2026-01-01 11:52:00+00:00,1,104,1003,2
129,3,101,Accounting and Financial Affairs,Q-101-9,0,HARD,MOCK_EXAM,2026-01-01 11:56:00+00:00,1,101,1000,3
130,3,102,Management and Organization Theory,Q-102-9,1,EASY,LESSON_QUIZ,2026-01-01 11:57:00+00:00,1,102,1000,3
131,3,103,Laws on Labor and Transaction,Q-103-9,1,AVERAGE,MOCK_EXAM,2026-01-01 11:58:00+00:00,1,103,1000,3
132,3,104,Laws on Security,Q-104-9,1,HARD,LESSON_QUIZ,2026-01-01 11:59:00+00:00,1,104,1000,3
133,3,101,Accounting and Financial Affairs,Q-101-1,1,EASY,DIAGNOSTIC,2026-01-01 12:03:00+00:00,1,101,1001,3
134,3,102,Management and Organization Theory,Q-102-1,1,AVERAGE,MIDDLE_EXAM,2026-01-01 12:04:00+00:00,1,102,1001,3
135,3,103,Laws on Labor and Transaction,Q-103-1,1,HARD,DIAGNOSTIC,2026-01-01 12:05:00+00:00,1,103,1001,3
136,3,104,Laws on Security,Q-104-1,1,EASY,MIDDLE_EXAM,2026-01-01 12:06:00+00:00,1,104,1001,3
137,3,101,Accounting and Financial Affairs,Q-101-2,0,AVERAGE,LESSON_QUIZ,2026-01-01 12:10:00+00:00,1,101,1002,3
138,3,102,Management and Organization Theory,Q-102-2,0,HARD,MOCK_EXAM,2026-01-01 12:11:00+00:00,1,102,1002,3
139,3,103,Laws on Labor and Transaction,Q-103-2,1,EASY,LESSON_QUIZ,2026-01-01 12:12:00+00:00,1,103,1002,3
140,3,104,Laws on Security,Q-104-2,1,AVERAGE,MOCK_EXAM,2026-01-01 12:13:00+00:00,1,104,1002,3
141,3,101,Accounting and Financial Affairs,Q-101-3,1,HARD,MIDDLE_EXAM,2026-01-01 12:17:00+00:00,1,101,1003,3
142,3,102,Management and Organization Theory,Q-102-3,1,EASY,DIAGNOSTIC,2026-01-01 12:18:00+00:00,1,102,1003,3
143,3,103,Laws on Labor and Transaction,Q-103-3,1,AVERAGE,MIDDLE_EXAM,2026-01-01 12:19:00+00:00,1,103,1003,3
144,3,104,Laws on Security,Q-104-3,0,HARD,DIAGNOSTIC,2026-01-01 12:20:00+00:00,1,104,1003,3
145,4,101,Accounting and Financial Affairs,Q-101-1,1,AVERAGE,MOCK_EXAM,2026-01-01 12:30:00+00:00,1,101,1000,1
146,4,102,Management and Organization Theory,Q-102-1,1,HARD,LESSON_QUIZ,2026-01-01 12:31:00+00:00,1,102,1000,1
147,4,103,Laws on Labor and Transaction,Q-103-1,0,EASY,MOCK_EXAM,2026-01-01 12:32:00+00:00,1,103,1000,1
148,4,104,Laws on Security,Q-104-1,1,AVERAGE,LESSON_QUIZ,2026-01-01 12:33:00+00:00,1,104,1000,1
149,4,101,Accounting and Financial Affairs,Q-101-2,0,HARD,DIAGNOSTIC,2026-01-01 12:37:00+00:00,1,101,1001,1
150,4,102,Management and Organization Theory,Q-102-2,0,EASY,MIDDLE_EXAM,2026-01-01 12:38:00+00:00,1,102,1001,1
151,4,103,Laws on Labor and Transaction,Q-103-2,1,AVERAGE,DIAGNOSTIC,2026-01-01 12:39:00+00:00,1,103,1001,1
152,4,104,Laws on Security,Q-104-2,0,HARD,MIDDLE_EXAM,2026-01-01 12:40:00+00:00,1,104,1001,1
153,4,101,Accounting and Financial Affairs,Q-101-3,1,EASY,LESSON_QUIZ,2026-01-01 12:44:00+00:00,1,101,1002,1
154,4,102,Management and Organization Theory,Q-102-3,1,AVERAGE,MOCK_EXAM,2026-01-01 12:45:00+00:00,1,102,1002,1
155,4,103,Laws on Labor and Transaction,Q-103-3,1,HARD,LESSON_QUIZ,2026-01-01 12:46:00+00:00,1,103,1002,1
156,4,104,Laws on Security,Q-104-3,0,EASY,MOCK_EXAM,2026-01-01 12:47:00+00:00,1,104,1002,1
157,4,101,Accounting and Financial Affairs,Q-101-4,1,AVERAGE,MIDDLE_EXAM,2026-01-01 12:51:00+00:00,1,101,1003,1
158,4,102,Management and Organization Theory,Q-102-4,1,HARD,DIAGNOSTIC,2026-01-01 12:52:00+00:00,1,102,1003,1
159,4,103,Laws on Labor and Transaction,Q-103-4,1,EASY,MIDDLE_EXAM,2026-01-01 12:53:00+00:00,1,103,1003,1
160,4,104,Laws on Security,Q-104-4,0,AVERAGE,DIAGNOSTIC,2026-01-01 12:54:00+00:00,1,104,1003,1
161,4,101,Accounting and Financial Affairs,Q-101-5,0,HARD,MOCK_EXAM,2026-01-01 12:58:00+00:00,1,101,1000,2
162,4,102,Management and Organization Theory,Q-102-5,0,EASY,LESSON_QUIZ,2026-01-01 12:59:00+00:00,1,102,1000,2
163,4,103,Laws on Labor and Transaction,Q-103-5,0,AVERAGE,MOCK_EXAM,2026-01-01 13:00:00+00:00,1,103,1000,2
164,4,104,Laws on Security,Q-104-5,0,HARD,LESSON_QUIZ,2026-01-01 13:01:00+00:00,1,104,1000,2
165,4,101,Accounting and Financial Affairs,Q-101-6,1,EASY,DIAGNOSTIC,2026-01-01 13:05:00+00:00,1,101,1001,2
166,4,102,Management and Organization Theory,Q-102-6,1,AVERAGE,MIDDLE_EXAM,2026-01-01 13:06:00+00:00,1,102,1001,2
167,4,103,Laws on Labor and Transaction,Q-103-6,0,HARD,DIAGNOSTIC,2026-01-01 13:07:00+00:00,1,103,1001,2
168,4,104,Laws on Security,Q-104-6,1,EASY,MIDDLE_EXAM,2026-01-01 13:08:00+00:00,1,104,1001,2
169,4,101,Accounting and Financial Affairs,Q-101-7,1,AVERAGE,LESSON_QUIZ,2026-01-01 13:12:00+00:00,1,101,1002,2
170,4,102,Management and Organization Theory,Q-102-7,1,HARD,MOCK_EXAM,2026-01-01 13:13:00+00:00,1,102,1002,2
171,4,103,Laws on Labor and Transaction,Q-103-7,0,EASY,LESSON_QUIZ,2026-01-01 13:14:00+00:00,1,103,1002,2
172,4,104,Laws on Security,Q-104-7,1,AVERAGE,MOCK_EXAM,2026-01-01 13:15:00+00:00,1,104,1002,2
173,4,101,Accounting and Financial Affairs,Q-101-8,0,HARD,MIDDLE_EXAM,2026-01-01 13:19:00+00:00,1,101,1003,2
174,4,102,Management and Organization Theory,Q-102-8,1,EASY,DIAGNOSTIC,2026-01-01 13:20:00+00:00,1,102,1003,2
175,4,103,Laws on Labor and Transaction,Q-103-8,1,AVERAGE,MIDDLE_EXAM,2026-01-01 13:21:00+00:00,1,103,1003,2
176,4,104,Laws on Security,Q-104-8,0,HARD,DIAGNOSTIC,2026-01-01 13:22:00+00:00,1,104,1003,2
177,4,101,Accounting and Financial Affairs,Q-101-9,1,EASY,MOCK_EXAM,2026-01-01 13:26:00+00:00,1,101,1000,3
178,4,102,Management and Organization Theory,Q-102-9,1,AVERAGE,LESSON_QUIZ,2026-01-01 13:27:00+00:00,1,102,1000,3
179,4,103,Laws on Labor and Transaction,Q-103-9,0,HARD,MOCK_EXAM,2026-01-01 13:28:00+00:00,1,103,1000,3
180,4,104,Laws on Security,Q-104-9,0,EASY,LESSON_QUIZ,2026-01-01 13:29:00+00:00,1,104,1000,3
181,4,101,Accounting and Financial Affairs,Q-101-1,1,AVERAGE,DIAGNOSTIC,2026-01-01 13:33:00+00:00,1,101,1001,3
182,4,102,Management and Organization Theory,Q-102-1,1,HARD,MIDDLE_EXAM,2026-01-01 13:34:00+00:00,1,102,1001,3
183,4,103,Laws on Labor and Transaction,Q-103-1,0,EASY,DIAGNOSTIC,2026-01-01 13:35:00+00:00,1,103,1001,3
184,4,104,Laws on Security,Q-104-1,0,AVERAGE,MIDDLE_EXAM,2026-01-01 13:36:00+00:00,1,104,1001,3
185,4,101,Accounting and Financial Affairs,Q-101-2,1,HARD,LESSON_QUIZ,2026-01-01 13:40:00+00:00,1,101,1002,3
186,4,102,Management and Organization Theory,Q-102-2,1,EASY,MOCK_EXAM,2026-01-01 13:41:00+00:00,1,102,1002,3
187,4,103,Laws on Labor and Transaction,Q-103-2,1,AVERAGE,LESSON_QUIZ,2026-01-01 13:42:00+00:00,1,103,1002,3
188,4,104,Laws on Security,Q-104-2,1,HARD,MOCK_EXAM,2026-01-01 13:43:00+00:00,1,104,1002,3
189,4,101,Accounting and Financial Affairs,Q-101-3,1,EASY,MIDDLE_EXAM,2026-01-01 13:47:00+00:00,1,101,1003,3
190,4,102,Management and Organization Theory,Q-102-3,1,AVERAGE,DIAGNOSTIC,2026-01-01 13:48:00+00:00,1,102,1003,3
191,4,103,Laws on Labor and Transaction,Q-103-3,1,HARD,MIDDLE_EXAM,2026-01-01 13:49:00+00:00,1,103,1003,3
192,4,104,Laws on Security,Q-104-3,1,EASY,DIAGNOSTIC,2026-01-01 13:50:00+00:00,1,104,1003,3
193,5,101,Accounting and Financial Affairs,Q-101-1,0,EASY,DIAGNOSTIC,2026-01-01 14:00:00+00:00,1,101,1000,1
194,5,102,Management and Organization Theory,Q-102-1,1,AVERAGE,MIDDLE_EXAM,2026-01-01 14:01:00+00:00,1,102,1000,1
195,5,103,Laws on Labor and Transaction,Q-103-1,1,HARD,DIAGNOSTIC,2026-01-01 14:02:00+00:00,1,103,1000,1
196,5,104,Laws on Security,Q-104-1,0,EASY,MIDDLE_EXAM,2026-01-01 14:03:00+00:00,1,104,1000,1
197,5,101,Accounting and Financial Affairs,Q-101-2,1,AVERAGE,LESSON_QUIZ,2026-01-01 14:07:00+00:00,1,101,1001,1
198,5,102,Management and Organization Theory,Q-102-2,1,HARD,MOCK_EXAM,2026-01-01 14:08:00+00:00,1,102,1001,1
199,5,103,Laws on Labor and Transaction,Q-103-2,0,EASY,LESSON_QUIZ,2026-01-01 14:09:00+00:00,1,103,1001,1
200,5,104,Laws on Security,Q-104-2,0,AVERAGE,MOCK_EXAM,2026-01-01 14:10:00+00:00,1,104,1001,1
201,5,101,Accounting and Financial Affairs,Q-101-3,0,HARD,MIDDLE_EXAM,2026-01-01 14:14:00+00:00,1,101,1002,1
202,5,102,Management and Organization Theory,Q-102-3,1,EASY,DIAGNOSTIC,2026-01-01 14:15:00+00:00,1,102,1002,1
203,5,103,Laws on Labor and Transaction,Q-103-3,0,AVERAGE,MIDDLE_EXAM,2026-01-01 14:16:00+00:00,1,103,1002,1
204,5,104,Laws on Security,Q-104-3,1,HARD,DIAGNOSTIC,2026-01-01 14:17:00+00:00,1,104,1002,1
